Designator,Value,Footprint,JLCPCB Part #
BridgeRectifier1,~,KBJ-2 Rectifier,
C1,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C2,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C3,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C4,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C5,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C6,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C7,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C8,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C9,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C10,1n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C11,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C12,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C13,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C14,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C15,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C16,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C17,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C18,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C19,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C20,2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C21,2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C22,270pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C23,1600pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,
C24,1000uF,1000uCap,
C25,1000uF,1000uCap,
C26,470uF,470uFCap,
C27,4.7u,4.7uCap,
C28,4.7u,4.7uCap,
C29,1u,C_1812_4532Metric_Pad1.57x3.40mm_HandSolder,
